Id,Title,Description,Location,Start_time,End_time,Host
1,Ballet Fundamentals,"Beginner ballet class for adults","Main Studio",2024-03-01T17:00:00,2024-03-01T18:30:00,"City Dance Academy"
2,HIIT Bootcamp,"High-intensity interval training","Gym Floor",2024-03-02T08:00:00,2024-03-02T09:00:00,"FitLife Gym"
3,Salsa Social Night,"Open dance night with live music","Dance Hall",2024-03-02T19:00:00,2024-03-02T23:00:00,
4,Yoga for Dancers,"Flexibility and balance workshop","Studio B",2024-03-03T10:00:00,2024-03-03T11:30:00,"Elite Dance"
5,Powerlifting Meet,"Competition for all levels","Main Gym",2024-03-04T10:00:00,2024-03-04T16:00:00,"Iron Temple"
6,Contemporary Dance Workshop,,Studio 3,2024-03-05T18:00:00,2024-03-05T20:00:00,"Modern Moves Academy"
7,Spin Marathon,"Charity spin class (3 hours)","Cycling Studio",2024-03-06T16:00:00,2024-03-06T19:00:00,"CyclePower"
8,Hip Hop Kids Class,"Ages 8-12 beginner class","Studio A",2024-03-07T16:30:00,2024-03-07T17:30:00,"Urban Dance Co."
9,CrossFit Open,,Competition Area,2024-03-08T07:00:00,2024-03-08T19:00:00,"CrossFit Downtown"
10,Ballroom Dance Lessons,"Waltz and Foxtrot basics","Grand Ballroom",2024-03-09T14:00:00,2024-03-09T15:30:00,
11,Pilates Reformer Class,"Small group session","Pilates Studio",2024-03-10T09:00:00,2024-03-10T10:00:00,"Core Fitness"
12,Jazz Dance Intensive,"Advanced technique weekend","Main Studio",2024-03-15T18:00:00,2024-03-17T15:00:00,"Broadway Dance"
13,TRX Circuit Training,,Functional Zone,2024-03-11T12:00:00,2024-03-11T13:00:00,
14,Tap Dance Workshop,"Rhythm and timing fundamentals","Studio 2",2024-03-12T19:00:00,2024-03-12T21:00:00,"Tap Masters"
15,Open Gym Night,"Free access to all equipment","Main Gym",2024-03-13T20:00:00,2024-03-13T22:00:00,"MegaFit"
16,Parent & Child Ballet,"Ages 3-5 with caregiver","Studio C",2024-03-14T10:00:00,2024-03-14T11:00:00,
17,Boxing Conditioning,"Non-contact training","Combat Zone",2024-03-15T17:30:00,2024-03-15T18:30:00,"FightFit"
18,Contemporary Choreography Lab,,Black Box Theater,2024-03-16T13:00:00,2024-03-16T16:00:00,"Movement Arts"
19,Zumba Party,"Latin fitness celebration","Main Studio",2024-03-17T11:00:00,2024-03-17T12:30:00,"Rhythm Fitness"
20,Power Yoga Flow,"Vinyasa for strength","Yoga Loft",2024-03-18T06:30:00,2024-03-18T07:30:00,
21,Competition Team Tryouts,"For company dancers","Studio A",2024-03-19T17:00:00,2024-03-19T20:00:00,"Premier Dance"
22,Strongman Training,"Atlas stones and logs","Outdoor Area",2024-03-20T18:00:00,2024-03-20T20:00:00,"Brute Strength"
23,Musical Theater Dance,"Broadway-style choreo","Main Studio",2024-03-21T19:00:00,2024-03-21T21:00:00,
24,Kettlebell Workshop,"Proper form and techniques","Functional Zone",2024-03-22T17:00:00,2024-03-22T18:30:00,"FitPro"
25,Dance Recital,"Spring showcase performance","City Theater",2024-03-23T14:00:00,2024-03-23T17:00:00,"Academy of Dance"
26,Barre Fitness Class,"Dance-inspired workout","Studio B",2024-03-24T09:30:00,2024-03-24T10:30:00,
27,Capoeira Class,"Brazilian martial arts dance","Studio 3",2024-03-25T18:30:00,2024-03-25T20:00:00,"Capoeira Nation"
28,Swim & Gym Combo,"Pool + weights session","Aqua Center",2024-03-26T06:00:00,2024-03-26T07:30:00,"AquaFit"
29,Popping Workshop,"Street dance styles","Hip Hop Studio",2024-03-27T17:00:00,2024-03-27T19:00:00,
30,Functional Fitness Challenge,,Competition Floor,2024-03-28T18:00:00,2024-03-28T20:00:00,"Performance Gym"
31,Latin Dance Social,"Salsa, Bachata, Merengue","Dance Hall",2024-03-29T20:00:00,2024-03-30T01:00:00,"Rhythm Makers"
32,Pre-Pointe Assessment,"For ballet students","Studio A",2024-03-30T11:00:00,2024-03-30T12:30:00,"Ballet Elite"
33,MetCon Class,"Metabolic conditioning","HIIT Zone",2024-03-31T08:00:00,2024-03-31T09:00:00,
34,Dance Photography Session,"Performance shots","Main Studio",2024-04-01T16:00:00,2024-04-01T19:00:00,"Artistic Shots"
35,Olympic Lifting Clinic,"Snatch and clean & jerk","Weightlifting Platform",2024-04-02T17:00:00,2024-04-02T19:00:00,
36,Modern Dance Repertory,"Learn company pieces","Studio 1",2024-04-03T18:00:00,2024-04-03T20:00:00,"Contemporary Collective"
37,Boxing for Fitness,"Cardio boxing class","Combat Zone",2024-04-04T17:30:00,2024-04-04T18:30:00,"Punch Gym"
38,Dance Costume Fitting,"For spring recital","Costume Room",2024-04-05T16:00:00,2024-04-05T19:00:00,
39,Silks & Aerial Workshop,"Beginner aerial arts","Aerial Studio",2024-04-06T13:00:00,2024-04-06T15:00:00,"Air Dance"
40,Senior Fitness Class,"Low-impact training","Silver Zone",2024-04-07T10:00:00,2024-04-07T11:00:00,
41,Jazz Funk Masterclass,"With choreographer Mia","Main Studio",2024-04-08T19:00:00,2024-04-08T21:00:00,"Dance Fusion"
42,StrongFirst Certification,"Kettlebell instructor course","SFG Area",2024-04-09T08:00:00,2024-04-11T17:00:00,"StrongFirst"
43,Tap Jam Session,"Improvisation night","Studio 2",2024-04-12T19:30:00,2024-04-12T22:00:00,
44,Parkour Fundamentals,"Movement training","Outdoor Course",2024-04-13T11:00:00,2024-04-13T13:00:00,"Urban Movement"
45,Dance History Lecture,"20th century modern dance","Lecture Hall",2024-04-14T15:00:00,2024-04-14T17:00:00,
46,Functional Mobility Class,"Injury prevention","Recovery Zone",2024-04-15T12:00:00,2024-04-15T13:00:00,"MoveWell"
47,Choreography Competition,"Original works showcase","Black Box",2024-04-16T18:00:00,2024-04-16T21:00:00,
48,Acro Dance Training,"Tumbling for dancers","Acro Studio",2024-04-17T17:00:00,2024-04-17T19:00:00,
49,Gymnastics Open Gym,"All levels welcome","Gymnastics Center",2024-04-18T19:00:00,2024-04-18T21:00:00,"Flip Starz"
50,Dance Company Auditions,"Professional company","Main Theater",2024-04-19T10:00:00,2024-04-19T17:00:00,"Metro Dance Co."